TeamName,RegularSeasonRank,Record,PointsFor,PointsAgainst,PlayoffRank,ManagerName,Moves,Trades,DraftPosition
Drake's New Favorite Team,1,12-1-0,"1,410.72","1,061.28",1,Neil,13,0,7
Chalupa Batman,2,10-3-0,"1,219.12","1,036.52",3,Kevin,45,1,8
Took An Arrow To The Knee,3,9-4-0,"1,137.24","1,135.76",2,Peter,30,1,10
Zeke Didn't Do It,4,8-5-0,"1,192.48","1,124.12",5,Jeremy,24,2,9
Wentz Upon a Time,5,7-6-0,"1,144.08","1,152.96",4,david,15,0,3
Wizard Sleeve,6,7-6-0,"1,017.66","1,082.68",6,Peter2,10,0,4
The Unsullied,7,6-7-0,"1,187.60","1,230.00",10,Ryan,49,1,1
Sackless Sacko Champ,8,6-7-0,"1,227.78","1,073.76",8,michael,5,1,2
Hyde the Blount,9,5-8-0,"1,147.32","1,200.62",9,Greg,15,1,6
3-10 49ers,10,3-10-0,985.26,"1,115.24",11,Alessandro,24,0,11
Valyrian Steel-ers,11,3-10-0,"1,031.32","1,218.60",7,Daniel,8,1,5
Champion to Sacko,12,2-11-0,969.22,"1,238.26",12,alex,24,0,12
