Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,R/W/T,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,RES,Points,Total,Opponent,Opponent Total
Peter,4,K. Murray QB - ARI Q ,37.92,J. Jackson RB - LAC ,0.00,D. Dallas RB - SEA ,9.90,C. Beasley WR - BUF Q ,3.90,A. Thielen WR - MIN ,3.80,J. Smith TE - TEN ,9.20,D. Parker WR - MIA ,6.40,D. Carlson K - LV ,7.00,Titans DEF ,14.00,F. Gore RB - NYJ IR ,5.90,G. Bernard RB - CIN ,0.00,J. Mixon RB - CIN IR ,0.00,C. Ridley WR - ATL ,0.00,M. Gesicki TE - MIA ,4.20,B. Scott RB - PHI ,0.00,N. Chubb RB - CLE ,0.00,P. Campbell WR - IND IR ,0.00,92.12,Jeremy,86.72
david,12,D. Jones QB - NYG ,12.88,W. Gallman RB - NYG ,13.70,D. Singletary RB - BUF ,3.40,J. Crowder WR - NYJ ,8.60,M. Thomas WR - NO Q ,5.10,J. Akins TE - HOU ,1.90,J. Jacobs RB - LV ,12.80,J. Tucker K - BAL ,6.00,Buccaneers DEF ,1.00,E. Sanders WR - NO ,9.80,J. Landry WR - CLE ,0.00,N. Agholor WR - LV ,11.50,M. Davis RB - CAR Q ,3.70,C. Samuel WR - CAR ,17.80,J. Burrow QB - CIN IR ,0.00,Z. Ertz TE - PHI ,0.00,-,-,65.38,Neil,76.64
Ryan,2,J. Allen QB - BUF ,38.00,D. Johnson RB - HOU ,1.60,C. Edmonds RB - ARI ,8.80,B. Cooks WR - HOU ,14.30,J. Jefferson WR - MIN ,6.40,T. Kelce TE - KC ,15.90,A. Kamara RB - NO ,10.90,Y. Koo K - ATL ,12.00,Texans DEF ,4.00,D. Brees QB - NO ,22.68,J. Reed TE - SF ,0.30,K. Golladay WR - DET Q ,0.00,D. Samuel WR - SF Q ,0.00,D. Swift RB - DET ,9.70,J. Reagor WR - PHI Q ,0.00,-,-,-,-,111.90,Daniel,85.34
alex,6,P. Mahomes QB - KC Q ,31.48,E. Elliott RB - DAL ,6.90,J. McKissic RB - WAS ,8.20,M. Evans WR - TB ,6.40,S. Diggs WR - BUF ,11.80,J. Cook TE - NO ,1.00,M. Jones WR - DET ,10.30,K. Fairbairn K - HOU ,11.00,Ravens DEF ,14.00,M. Ingram RB - BAL ,0.00,D. Freeman RB ,0.00,C. Hyde RB - SEA ,0.00,T. Patrick WR - DEN Q ,8.90,Browns DEF ,0.00,Chiefs DEF ,1.00,S. Michel RB - NE ,0.00,-,-,101.08,Alessandro,107.00
Alessandro,5,R. Wilson QB - SEA ,22.10,T. Ervin RB - GB IR ,7.20,D. Cook RB - MIN ,39.20,K. Cole WR - JAX ,0.60,D. Chark WR - JAX Q ,20.60,H. Henry TE - LAC ,3.30,C. Davis WR - TEN ,0.00,B. McManus K - DEN ,9.00,Colts DEF ,5.00,A. Peterson RB - DET ,4.30,K. Drake RB - ARI ,0.00,R. Tonyan TE - GB ,0.50,A. Brown WR - TEN Q ,16.10,A. Mattison RB - MIN ,6.90,C. Lamb WR - DAL ,11.10,-,-,-,-,107.00,alex,101.08
Daniel,11,D. Watson QB - HOU ,24.24,T. Gurley RB - ATL ,11.50,L. Fournette RB - TB ,4.10,J. Jones WR - ATL Q ,11.40,A. Cooper WR - DAL Q ,7.50,E. Engram TE - NYG ,10.80,D. Slayton WR - NYG ,0.80,W. Lutz K - NO ,8.00,Steelers DEF ,7.00,M. Stafford QB - DET ,8.44,J. Brown WR - BUF ,9.90,M. Gallup WR - DAL ,3.60,R. Gage WR - ATL ,1.10,L. Perine RB - NYJ COV ,3.80,J. Kelley RB - LAC ,5.90,A. Ekeler RB - LAC Q ,0.00,-,-,85.34,Ryan,111.90
Neil,3,B. Roethlisberger QB - PIT ,25.04,D. Henry RB - TEN ,6.80,A. Jones RB - GB Q ,7.90,A. Robinson WR - CHI ,8.10,M. Williams WR - LAC ,8.10,H. Hurst TE - ATL ,6.20,J. Dobbins RB - BAL ,3.50,Z. Gonzalez K - ARI IR ,7.00,Bears DEF ,4.00,C. Wentz QB - PHI ,0.00,J. Smith-Schuster WR - PIT ,15.30,P. Lindsay RB - DEN IR ,2.30,C. Kirk WR - ARI ,18.30,Z. Moss RB - BUF IR ,10.80,M. Crosby K - GB ,12.00,-,-,-,-,76.64,david,65.38
michael,8,T. Brady QB - TB ,2.36,J. McKinnon RB - SF ,12.80,M. Gordon RB - DEN ,2.70,D. Adams WR - GB ,23.30,T. Hill WR - KC ,24.10,D. Waller TE - LV ,8.20,K. Allen WR - LAC ,16.30,M. Prater K - DET ,8.00,Patriots DEF ,3.00,L. Bell RB - KC ,0.30,J. Goff QB - LA ,0.00,A. Hooper TE - CLE ,0.00,J. Howard RB ,7.90,J. Williams RB - GB ,0.00,Bills DEF ,12.00,T. Cohen RB - CHI IR ,0.00,-,-,100.76,Greg,74.90
Kevin,1,M. Ryan QB - ATL ,22.36,J. Conner RB - PIT ,2.00,C. McCaffrey RB - CAR Q ,27.10,W. Fuller WR - HOU ,16.00,D. Metcalf WR - SEA ,16.80,E. Ebron TE - PIT Q ,8.20,D. Montgomery RB - CHI ,2.20,R. Blankenship K - IND ,4.00,Football Team DEF ,5.00,A. Brown WR - TB ,3.10,C. Godwin WR - TB ,4.10,M. Breida RB - MIA ,0.00,J. Wilkins RB - IND ,3.80,D. Goedert TE - PHI Q ,0.00,T. Tagovailoa QB - MIA ,21.42,R. Mostert RB - SF IR ,0.00,M. Gaskin RB - MIA ,0.00,103.66,Peter,59.40
Jeremy,9,R. Tannehill QB - TEN ,14.62,L. Murray RB - NO Q ,4.20,J. Hasty RB - SF IR ,1.30,T. McLaurin WR - WAS ,17.50,D. Johnson WR - PIT ,8.10,N. Fant TE - DEN ,4.50,A. Gibson RB - WAS ,9.50,T. Bass K - BUF ,14.00,Giants DEF ,13.00,C. Kupp WR - LA Q ,0.00,K. Hunt RB - CLE ,0.00,C. Carson RB - SEA ,0.00,T. Pollard RB - DAL ,5.80,T. Higgins WR - CIN Q ,0.00,R. Bullock K - CIN ,0.00,G. Kittle TE - SF ,0.00,-,-,86.72,Peter,92.12
Peter,7,A. Rodgers QB - GB ,28.90,D. Harris RB - NE IR ,7.10,C. Edwards-Helaire RB - KC ,9.40,T. Lockett WR - SEA ,4.00,D. Moore WR - CAR ,1.80,R. Gronkowski TE - TB ,0.20,D. Hopkins WR - ARI ,3.00,R. Succop K - TB ,3.00,Chargers DEF ,2.00,C. Newton QB - NE ,24.56,T. Boyd WR - CIN ,0.00,T. Hockenson TE - DET ,9.90,D. Henderson RB - LA IR ,0.00,J. Taylor RB - IND ,7.40,B. Aiyuk WR - SF Q ,0.00,A. Lazard WR - GB ,0.00,-,-,59.40,Kevin,103.66
